date,Country/Region,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,share_of_last_week,percentage,population
2020-01-22,Lebanon,33.8547,35.8623,0,0,0,0,0.0,0.0,68.25441
2020-01-22,Lesotho,-29.609988,28.233608,0,0,0,0,0.0,0.0,21.42252
2020-01-22,Liberia,6.4281,-9.4295,0,0,0,0,0.0,0.0,50.57677
2020-01-22,Libya,26.3351,17.228331,0,0,0,0,0.0,0.0,68.71286
2020-01-22,Liechtenstein,47.14,9.55,0,0,0,0,0.0,0.0,0.38137
2020-01-22,Lithuania,55.1694,23.8813,0,0,0,0,0.0,0.0,27.2229
2020-01-22,Luxembourg,49.8153,6.1296,0,0,0,0,0.0,0.0,6.25976
2020-01-22,MS Zaandam,0.0,0.0,0,0,0,0,0.0,0.0,
2020-01-22,Madagascar,-18.7669,46.8691,0,0,0,0,0.0,0.0,276.91019
2020-01-22,Malawi,-13.254307999999998,34.301525,0,0,0,0,0.0,0.0,191.29955
2020-01-22,Malaysia,2.5,112.5,0,0,0,0,0.0,0.0,323.65998
2020-01-22,Maldives,3.2028,73.2207,0,0,0,0,0.0,0.0,5.40541
2020-01-22,Mali,17.570692,-3.996166000000001,0,0,0,0,0.0,0.0,202.50834
2020-01-22,Malta,35.9375,14.3754,0,0,0,0,0.0,0.0,4.41539
2020-01-22,Mauritania,21.0079,10.9408,0,0,0,0,0.0,0.0,46.4966
2020-01-22,Mauritius,-20.2,57.5,0,0,0,0,0.0,0.0,12.71767
2020-01-22,Mexico,23.6345,-102.5528,0,0,0,0,0.0,0.0,1289.32753
2020-01-22,Moldova,47.4116,28.3699,0,0,0,0,0.0,0.0,40.33962
2020-01-22,Monaco,43.7333,7.4167,0,0,0,0,0.0,0.0,0.39244
2020-01-22,Mongolia,46.8625,103.8467,0,0,0,0,0.0,0.0,32.78292
2020-01-22,Montenegro,42.5,19.3,0,0,0,0,0.0,0.0,6.28062
2020-01-22,Morocco,31.7917,-7.0926,0,0,0,0,0.0,0.0,369.10558
2020-01-22,Mozambique,-18.6657,35.5296,0,0,0,0,0.0,0.0,312.55435
2020-01-22,Namibia,-22.9576,18.4904,0,0,0,0,0.0,0.0,25.40916
2020-01-22,Nepal,28.1667,84.25,0,0,0,0,0.0,0.0,291.36807
2020-01-22,Netherlands,52.1326,5.2913,0,0,0,0,0.0,0.0,171.34873
2020-01-22,New Zealand,-40.9006,174.886,0,0,0,0,0.0,0.0,48.22233
2020-01-22,Nicaragua,12.8654,-85.2072,0,0,0,0,0.0,0.0,66.24554
2020-01-22,Niger,17.6078,8.0817,0,0,0,0,0.0,0.0,242.06636
2020-01-22,Nigeria,9.082,8.6753,0,0,0,0,0.0,0.0,2061.39587
2020-01-22,North Macedonia,41.6086,21.7453,0,0,0,0,0.0,0.0,20.8338
2020-01-22,Norway,60.472,8.4689,0,0,0,0,0.0,0.0,54.21241
2020-01-22,Oman,21.0,57.0,0,0,0,0,0.0,0.0,51.06622
2020-01-22,Pakistan,30.3753,69.3451,0,0,0,0,0.0,0.0,2208.92331
2020-01-22,Panama,8.538,-80.7821,0,0,0,0,0.0,0.0,43.14768
2020-01-22,Papua New Guinea,-6.315,143.9555,0,0,0,0,0.0,0.0,89.47027
2020-01-22,Paraguay,-23.4425,-58.4438,0,0,0,0,0.0,0.0,71.3253
2020-01-22,Peru,-9.19,-75.0152,0,0,0,0,0.0,0.0,329.71845
2020-01-22,Philippines,13.0,122.0,0,0,0,0,0.0,0.0,1095.81085
2020-01-22,Poland,51.9194,19.1451,0,0,0,0,0.0,0.0,378.46605
2020-01-22,Portugal,39.3999,-8.2245,0,0,0,0,0.0,0.0,101.96707
2020-01-22,Qatar,25.3548,51.1839,0,0,0,0,0.0,0.0,28.8106
2020-01-22,Romania,45.9432,24.9668,0,0,0,0,0.0,0.0,192.37682
2020-01-22,Russia,60.0,90.0,0,0,0,0,0.0,0.0,1459.3446
2020-01-22,Rwanda,-1.9403,29.8739,0,0,0,0,0.0,0.0,129.52208
2020-01-22,Saint Kitts and Nevis,17.357822,-62.782998,0,0,0,0,0.0,0.0,0.53192
2020-01-22,Saint Lucia,13.9094,-60.9789,0,0,0,0,0.0,0.0,1.83629
2020-01-22,Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,0,0,0.0,0.0,1.10947
2020-01-22,San Marino,43.9424,12.4578,0,0,0,0,0.0,0.0,0.33938
2020-01-22,Sao Tome and Principe,0.18636,6.613081,0,0,0,0,0.0,0.0,2.1916
2020-01-22,Saudi Arabia,24.0,45.0,0,0,0,0,0.0,0.0,348.13867
2020-01-22,Senegal,14.4974,-14.4524,0,0,0,0,0.0,0.0,167.4393
