date,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-02-06,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-02-06,Arizona,1,0,0,32.521582678524574,-107.88002059344271,1
2020-02-07,Illinois,2,0,0,39.567817696206866,-88.4548304695925,2
2020-02-07,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-02-07,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-02-07,Massachusetts,1,0,0,40.26071049785184,-68.22044118140738,1
2020-02-07,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-07,Wisconsin,1,0,0,44.2678016140528,-89.58752458101328,1
2020-02-07,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-07,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-02-07,Arizona,1,0,0,32.521582678524574,-107.88002059344271,1
2020-02-08,Illinois,2,0,0,39.567817696206866,-88.4548304695925,2
