date,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-03-23,New Brunswick,17,0,0,46.5653,-66.4619,17
2020-03-23,Nova Scotia,41,0,0,44.682,-63.7443,41
2020-03-23,Ontario,503,6,0,51.2538,-85.3232,497
2020-03-23,Quebec,628,4,0,52.9399,-73.5491,624
2020-03-23,Saskatchewan,66,0,0,52.9399,-106.4509,66
2020-03-24,Alberta,359,1,0,53.9333,-116.5765,358
2020-03-24,Manitoba,21,0,0,53.7609,-98.8139,21
2020-03-24,New Brunswick,18,0,0,46.5653,-66.4619,18
2020-03-24,Nova Scotia,51,0,0,44.682,-63.7443,51
2020-03-24,Ontario,588,7,0,51.2538,-85.3232,581
2020-03-24,Quebec,1013,4,0,52.9399,-73.5491,1009
2020-03-24,Saskatchewan,72,0,0,52.9399,-106.4509,72
2020-03-25,Alberta,358,2,0,53.9333,-116.5765,356
2020-03-25,Manitoba,35,0,0,53.7609,-98.8139,35
2020-03-25,New Brunswick,18,0,0,46.5653,-66.4619,18
2020-03-25,Nova Scotia,68,0,0,44.682,-63.7443,68
2020-03-25,Ontario,688,8,0,51.2538,-85.3232,680
2020-03-25,Quebec,1342,6,0,52.9399,-73.5491,1336
2020-03-25,Saskatchewan,72,0,0,52.9399,-106.4509,72
2020-03-26,Alberta,486,2,0,53.9333,-116.5765,484
2020-03-26,Manitoba,36,0,0,53.7609,-98.8139,36
2020-03-26,New Brunswick,33,0,0,46.5653,-66.4619,33
2020-03-26,Nova Scotia,73,0,0,44.682,-63.7443,73
2020-03-26,Ontario,858,13,0,51.2538,-85.3232,845
2020-03-26,Quebec,1632,8,0,52.9399,-73.5491,1624
2020-03-26,Saskatchewan,95,0,0,52.9399,-106.4509,95
2020-03-26,Yukon,3,0,0,64.2823,-135.0,3
2020-03-27,Alberta,542,2,0,53.9333,-116.5765,540
2020-03-27,Manitoba,39,1,0,53.7609,-98.8139,38
2020-03-27,New Brunswick,45,0,0,46.5653,-66.4619,45
2020-03-27,Nova Scotia,90,0,0,44.682,-63.7443,90
2020-03-27,Ontario,994,18,0,51.2538,-85.3232,976
2020-03-27,Quebec,2024,18,0,52.9399,-73.5491,2006
2020-03-27,Saskatchewan,95,0,0,52.9399,-106.4509,95
2020-03-27,Yukon,3,0,0,64.2823,-135.0,3
2020-03-28,Alberta,542,2,0,53.9333,-116.5765,540
2020-03-28,Manitoba,64,1,0,53.7609,-98.8139,63
2020-03-28,New Brunswick,51,0,0,46.5653,-66.4619,51
2020-03-28,Nova Scotia,110,0,0,44.681999999999995,-63.7443,110
2020-03-28,Ontario,1144,18,0,51.2538,-85.3232,1126
2020-03-28,Quebec,2498,22,0,52.9399,-73.5491,2476
2020-03-28,Saskatchewan,134,0,0,52.9399,-106.4509,134
2020-03-28,Yukon,4,0,0,64.2823,-135.0,4
2020-03-29,Alberta,621,2,0,53.9333,-116.5765,619
2020-03-29,Manitoba,72,1,0,53.7609,-98.8139,71
2020-03-29,New Brunswick,66,0,0,46.5653,-66.4619,66
2020-03-29,Nova Scotia,122,0,0,44.681999999999995,-63.7443,122
2020-03-29,Ontario,1355,21,0,51.2538,-85.3232,1334
2020-03-29,Quebec,2840,22,0,52.9399,-73.5491,2818
